lsoa11,no2,pm10,so2
E01000001,28.04744922,17.44258334,1.38673878
E01000002,27.01665406,17.39904698,1.343809638
E01000003,28.15108871,17.471035,1.397728801
E01000005,24.29380752,17.20116088,1.281699472
E01000006,17.19584329,16.23661467,1.246784082
E01000007,17.16754352,16.20619138,1.236390243
E01000008,17.23896577,16.23805029,1.231501806
E01000009,16.71492869,16.02436192,1.244214652
E01000010,17.13130358,16.21816771,1.252791693
E01000011,17.03439705,16.0919018,1.202385108
E01000012,17.59104347,16.39384079,1.189589858
E01000013,15.74885559,15.47213745,1.264395118
E01000014,15.62783068,15.41362751,1.262474733
E01000015,15.08717696,15.21537293,1.238821895
E01000016,15.22109561,15.23809067,1.202199156
E01000017,15.63942583,15.45813468,1.215404422
E01000018,15.36273113,15.30332692,1.253216066
E01000019,16.1378527,15.71778907,1.16014898
E01000020,15.81357533,15.57829106,1.18105181
E01000021,16.16605949,15.71749878,1.168566942
E01000022,16.16605949,15.71749878,1.168566942
E01000023,16.02184568,15.65980927,1.177589592
E01000024,16.16577294,15.71931532,1.170197218
E01000025,16.16166774,15.74533947,1.193552879
E01000027,14.16385651,15.47454786,1.061745644
E01000028,14.3539823,15.52726727,1.075077522
E01000029,14.85377789,15.57895756,1.091319084
E01000030,14.72408936,15.55387699,1.085225164
E01000031,14.64055514,15.4804895,1.096707323
E01000032,15.30858502,15.60882694,1.118343101
E01000033,15.25815868,15.25092983,1.186293602
E01000034,14.64759334,15.02107838,1.157103015
E01000035,14.82522697,15.09054766,1.191615116
E01000036,14.67468495,15.07066512,1.213170018
E01000037,14.58668576,15.01385976,1.140959934
E01000038,14.65179606,15.02844922,1.141807006
E01000039,14.39917829,14.93483364,1.161028783
E01000040,16.3501371,15.93653632,1.279615578
E01000041,16.14608574,15.86318302,1.281378508
E01000042,16.11967462,15.84676876,1.283014133
E01000043,16.19806488,15.8817061,1.280997068
E01000044,16.64143435,16.04125795,1.27698074
E01000045,16.02125895,15.78560437,1.289108961
E01000046,16.14608574,15.86318302,1.281378508
E01000048,16.72121624,15.96808718,1.320153477
E01000049,16.6911601,15.936384,1.331651194
E01000050,17.19956788,16.24267205,1.249481115
E01000051,16.85234992,16.1174273,1.266566028
E01000052,16.57037816,15.96185765,1.302154371
E01000053,15.93202648,15.45036508,1.337178582
E01000054,15.88617134,15.70164871,1.297474861
E01000055,16.05081301,15.63599605,1.325671511
E01000056,16.1136869,15.58060076,1.340627672
E01000057,16.03218317,15.62955327,1.3220143
E01000058,15.97541514,15.54157499,1.312108259
E01000059,15.95695842,15.46895686,1.337149933
E01000060,15.12731449,15.16148472,1.158362621
E01000061,15.18587277,15.16611424,1.146516056
E01000062,15.20585292,15.22995106,1.185363499
E01000063,15.57987361,15.45135176,1.190050414
E01000064,14.84749876,15.08622256,1.178991232
E01000065,15.31960396,15.28802936,1.187672811
E01000066,16.59326169,15.92421205,1.207674816
E01000067,16.18072169,15.78124768,1.21792786
E01000068,16.63450463,15.96317024,1.22428587
E01000069,16.18379261,15.78567675,1.220300472
E01000070,16.57137501,15.91972649,1.211186148
E01000071,16.26733065,15.88494771,1.265738548
E01000072,16.02737091,15.71439688,1.242702072
