variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
,Numeric,34756,34756,0,0.0,,,1.0,34756.0,17378.5,17378.5,10033.337314506409
lsoa_cd,String,34756,34755,1,2.8772010588099897e-05,9,9,,,,,
median_95Q1,Numeric,34756,3653,2037,0.05860858556795949,,,200.0,1070000.0,60973.78735597054,52125.0,38220.622088459444
median_95Q2,Numeric,34756,3626,1654,0.04758890551271723,,,50.0,875000.0,61512.36704730832,52995.0,37340.33231113598
median_95Q3,Numeric,34756,3599,1512,0.04350328000920704,,,380.0,1250000.0,62130.67294850198,53250.0,38138.29825424003
median_95Q4,Numeric,34756,3717,1485,0.04272643572332835,,,550.0,1200000.0,61246.149920351054,52500.0,38262.608604535664
median_96Q1,Numeric,34756,3711,1891,0.054407872022096904,,,900.0,962500.0,60999.32443328769,52250.0,38837.576780119794
median_96Q2,Numeric,34756,3621,1397,0.04019449879157556,,,189.0,865000.0,61921.00194849965,53000.0,37097.35543405113
median_96Q3,Numeric,34756,3689,1110,0.03193693175279089,,,2250.0,975000.0,63718.16872733757,54875.0,39359.14937336146
median_96Q4,Numeric,34756,3728,1026,0.029520082863390494,,,1000.0,750000.0,63632.77915801957,55000.0,38192.05939415429
median_97Q1,Numeric,34756,3847,1353,0.03892853032569916,,,700.0,855000.0,65037.44362781786,55475.0,41638.94929109396
median_97Q2,Numeric,34756,3932,1061,0.03052710323397399,,,2000.0,1410000.0,67275.42004748479,57375.0,43197.624162634376
median_97Q3,Numeric,34756,3925,847,0.024369892968120612,,,2500.0,1213750.0,70034.51579226754,59000.0,45440.722200156284
median_97Q4,Numeric,34756,3953,886,0.02549200138105651,,,1520.0,1100000.0,71033.43568054325,59500.0,46787.532999159506
median_98Q1,Numeric,34756,4054,1311,0.037720105880998965,,,4000.0,1887500.0,72439.79240544177,59950.0,50316.8322189698
median_98Q2,Numeric,34756,3987,965,0.0277649902175164,,,380.0,1250000.0,74684.87850315173,61475.0,50631.8021282383
median_98Q3,Numeric,34756,4049,798,0.022960064449303718,,,1000.0,1250000.0,76818.95030626068,63000.0,53212.611087833764
median_98Q4,Numeric,34756,4113,885,0.02546322937046841,,,3500.0,1663750.0,76430.66590888961,63250.0,53288.39098070546
median_99Q1,Numeric,34756,4104,1210,0.034814132811600874,,,7000.0,1135000.0,77765.04818756334,63975.0,55075.1389106079
median_99Q2,Numeric,34756,4170,896,0.025779721486937506,,,6000.0,985000.0,80460.90048730065,66250.0,55505.907826240116
median_99Q3,Numeric,34756,4297,705,0.020284267464610428,,,4500.0,1687500.0,84458.65556077649,69250.0,59035.64983330423
median_99Q4,Numeric,34756,4404,642,0.018471630797560132,,,5000.0,1505000.0,87336.01275136307,72000.0,61982.83461919974
median_00Q1,Numeric,34756,4462,926,0.026642881804580503,,,3500.0,1220625.0,90502.7466154301,73250.0,66215.69982366276
median_00Q2,Numeric,34756,4558,669,0.01924847508343883,,,5000.0,3000000.0,95312.55308475372,77500.0,73228.94093318457
median_00Q3,Numeric,34756,4551,620,0.017838646564621936,,,4500.0,2050000.0,99144.36521560815,79996.25,76024.61438398727
median_00Q4,Numeric,34756,4529,702,0.020197951432846126,,,4000.0,1685000.0,99917.63942561814,81000.0,74937.49766190746
median_01Q1,Numeric,34756,4528,913,0.026268845666935204,,,4000.0,2355000.0,101134.74173388883,81611.5,79407.435339422
median_01Q2,Numeric,34756,4524,547,0.015738289791690643,,,4000.0,2300000.0,104856.86418778684,86000.0,75713.9415757107
median_01Q3,Numeric,34756,4556,406,0.011681436298768558,,,5000.0,1774812.5,109529.39828238719,90000.0,78708.06428195389
